[2025-09-03 09:10:09] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:10:09] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:10:10] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:10:14] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:10:17] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:10:20] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:10:22] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:10:24] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:10:27] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:10:30] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:10:32] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:10:37] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:10:40] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:10:47] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:10:50] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:10:57] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:11:00] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:11:07] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:11:10] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:11:17] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:11:20] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:11:27] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:11:31] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:11:37] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:11:41] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:11:47] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:11:52] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:11:57] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:12:03] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:12:07] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:12:13] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:12:17] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:12:23] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:12:27] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:12:33] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:12:37] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:12:43] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:12:47] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:12:54] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:12:57] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:13:05] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:13:07] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:13:15] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:13:17] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:13:26] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:13:27] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:13:36] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:13:37] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:13:46] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:13:47] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:13:56] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:13:57] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:14:01] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:14:01] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:14:04] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:14:07] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:14:09] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:14:14] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:14:17] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:14:19] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:14:21] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:14:27] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:14:37] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
